page_id,token,lemma,position,nameTag,udpipe.feats.Abbr,udpipe.feats.AdpType,udpipe.feats.Animacy,udpipe.feats.Aspect,udpipe.feats.Case,udpipe.feats.Degree,udpipe.feats.Foreign,udpipe.feats.Gender,udpipe.feats.Mood,udpipe.feats.NameType,udpipe.feats.NumForm,udpipe.feats.NumType,udpipe.feats.Number,udpipe.feats.Person,udpipe.feats.Polarity,udpipe.feats.PronType,udpipe.feats.Reflex,udpipe.feats.Tense,udpipe.feats.Variant,udpipe.feats.VerbForm,udpipe.feats.Voice,udpipe.misc.B-io,udpipe.misc.I-io,udpipe.misc.SpaceAfter
1,01940,01940,20,B-n_,,,,,,,,,,,Digit,Card,,,,,,,,,,,,No
1,.,.,21,O,,,,,,,,,,,,,,,,,,,,,,,,
1,Odbor,odbor,1,O,,,Inan,,Nom,,,Masc,,,,,Sing,,,,,,,,,,,No
1,.,.,2,O,,,,,,,,,,,,,,,,,,,,,,,,
1,.,.,3,O,,,,,,,,,,,,,,,,,,,,,,,,
1,',',4,O,,,,,,,,,,,,,,,,,,,,,,,,
1,Odděleni,oddělený,5,O,,,Anim,Perf,,Pos,,Masc,,,,,Plur,,Pos,,,,Short,Part,Pass,,,
1,Dřívější,dřívější,6,O,,,Inan,,Nom,Cmp,,Masc,,,,,Plur,,Pos,,,,,,,,,
1,spisy,spis,7,O,,,Inan,,Nom,,,Masc,,,,,Plur,,,,,,,,,,,No
1,:,:,8,O,,,,,,,,,,,,,,,,,,,,,,,,
1,/,/,9,O,,,,,,,,,,,,,,,,,,,,,,,,No
1,123.8,123.8,10,B-n_,,,,,,,,,,,Digit,Card,,,,,,,,,,,,No
1,‘,‘,11,O,,,,,,,,,,,,,,,,,,,,,,,,No
1,1120,1120,12,B-n_,,,,,,,,,,,Digit,Card,,,,,,,,,,,,
1,Pozdější,pozdější,13,O,,,Inan,,Nom,Pos,,Masc,,,,,Sing,,Pos,,,,,,,,,
1,spis,spis,14,O,,,Inan,,Nom,,,Masc,,,,,Sing,,,,,,,,,,,No
1,:,:,15,O,,,,,,,,,,,,,,,,,,,,,,,,
1,H,H,16,O,Yes,,,,,,,,,,,,,,,,,,,,,,,No
1,-,-,17,O,,,,,,,,,,,,,,,,,,,,,,,,No
1,Ad,Ad,18,O,,,,,,,Yes,,,,,,,,,,,,,,,,,No
1,1420,1420,19,B-n_,,,,,,,,,,,Digit,Card,,,,,,,,,,,,No
1,-,-,20,O,,,,,,,,,,,,,,,,,,,,,,,,
1,Zároveň,zároveň,21,O,,,,,,,,,,,,,,,,,,,,,,,,
1,se,se,22,O,,,,,Acc,,,,,,,,,,,Prs,Yes,,Short,,,,,
1,vyřizují,vyřizovat,23,O,,,,Imp,,,,,Ind,,,,Plur,3,Pos,,,Pres,,Fin,Act,,,
1,čís,čís,24,O,Yes,,,,,,,Neut,,,,,,,,,,,,,,,,No
1,.,.,25,O,,,,,,,,,,,,,,,,,,,,,,,,No
1,:,:,26,O,,,,,,,,,,,,,,,,,,,,,,,,
1,Předmět,předmět,27,O,,,Inan,,Nom,,,Masc,,,,,Sing,,,,,,,,,,,No
1,:,:,28,O,,,,,,,,,,,,,,,,,,,,,,,,
1,NoUn,Noun,29,O,,,,,,,Yes,,,,,,,,,,,,,,,,,
1,ICalo,Icalo,30,O,,,,,,,Yes,,,,,,,,,,,,,,,,,No
1,/,/,31,O,,,,,,,,,,,,,,,,,,,,,,,,
1,«,«,32,O,,,,,,,Yes,,,,,,,,,,,,,,,,,
1,*,*,33,O,,,,,,,,,,,,,,,,,,,,,,,,No
1,~,~,34,O,,,,,,,Yes,,,,,,,,,,,,,,,,,No
1,oqulu‘e,oqulu‘e,35,O,,,,,,,Yes,,,,,,,,,,,,,,,,,
1,v,v,36,O,,,,,,,Yes,,,,,,,,,,,,,,,,,
1,&,&,37,O,,,,,,,,,,,,,,,,,,,,,,,,No
1,l.ouadu,l.ouadu,38,O,,,,,,,Yes,,,,,,,,,,,,,,,,,
1,Lolce,Lolce,39,O,,,,,,,Yes,,,,,,,,,,,,,,,,,
1,K,k,40,O,,Prep,,,Dat,,,,,,,,,,,,,,,,,,,
1,nahlédnuti,nahlédnutý,41,O,,,Anim,Perf,,Pos,,Masc,,,,,Plur,,Pos,,,,Short,Part,Pass,,,No
1,:,:,42,O,,,,,,,,,,,,,,,,,,,,,,,,
1,AFyoalirer,Afyoalirer,43,O,,,,,,,Yes,,,,,,,,,,,,,,,,,No
1,.,.,44,O,,,,,,,,,,,,,,,,,,,,,,,,
1,eevurniov,eevurniov,1,O,,,Anim,,Nom,,,Masc,,,,,Sing,,,,,,,,,,,No
1,",",",",2,O,,,,,,,,,,,,,,,,,,,,,,,,No
1,otrawu,otrawu,3,O,,,,,,,Yes,,,,,,,,,,,,,,,,,No
1,",",",",4,O,,,,,,,,,,,,,,,,,,,,,,,,
1,e,e,5,O,,,,,,,Yes,,,,,,,,,,,,,,,,,No
1,-,-,6,O,,,,,,,,,,,,,,,,,,,,,,,,No
1,Yun,Yun,7,O,,,,,,,Yes,,,,,,,,,,,,,,,,,
1,v,v,8,O,,Prep,,,Loc,,,,,,,,,,,,,,,,,,,
1,Crd,Crd,9,O,Yes,,,,,,,,,,,,,,,,,,,,,,,No
1,.,.,10,O,,,,,,,,,,,,,,,,,,,,,,,,No
1,—,—,11,O,,,,,,,,,,,,,,,,,,,,,,,,No
1,—,—,12,O,,,,,,,,,,,,,,,,,,,,,,,,No
1,-,-,13,O,,,,,,,,,,,,,,,,,,,,,,,,
1,•,•,14,O,,,,,,,,,,,,,,,,,,,,,,,,
1,Loke,Loke,1,O,,,,,,,Yes,,,,,,,,,,,,,,,,,
1,6,6,2,O,,,,,,,,,,,Digit,Card,,,,,,,,,,,,
1,MJadáu,Mjadáu,3,O,,,,,,,Yes,,,,,,,,,,,,,,,,,No
1,.,.,4,O,,,,,,,,,,,,,,,,,,,,,,,,No
1,a,a,5,O,Yes,,,,,,,,,,,,,,,,,,,,,,,No
1,",",",",6,O,,,,,,,,,,,,,,,,,,,,,,,,
1,7,7,7,O,,,,,,,,,,,Digit,Card,,,,,,,,,,,,
1,6,6,8,O,,,,,,,,,,,Digit,Card,,,,,,,,,,,,
1,|,|,9,O,,,,,,,,,,,,,,,,,,,,,,,,No
1,*,*,10,O,,,,,,,,,,,,,,,,,,,,,,,,
1,—1,—1,11,O,,,,,,,,,,,Digit,Card,,,,,,,,,,,,
1,ob,ob,12,O,Yes,,,,,,,,,,,,,,,,,,,,,,,
1,7,7,13,O,,,,,,,,,,,Digit,Card,,,,,,,,,,,,No
1,euee,euee,14,O,,,,,,,Yes,,,,,,,,,,,,,,,,,
1,r,r,15,O,,,,,,,Yes,,,,,,,,,,,,,,,,,
1,Kcuilo,Kcuilo,16,O,,,,,,,Yes,,,,,,,,,,,,,,,,,
1,wA,wa,17,O,,,,,,,Yes,,,,,,,,,,,,,,,,,
1,nlo,nlo,18,O,,,,,,,Yes,,,,,,,,,,,,,,,,,No
1,",",",",19,O,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,20,O,,,,,,,,,,,Digit,Card,,,,,,,,,,,,No
1,.,.,21,O,,,,,,,,,,,,,,,,,,,,,,,,
1,Kdu,Kdu,22,O,Yes,,,,,,,,,,,,,,,,,,,,,,,
1,6,6,23,O,,,,,,,,,,,Digit,Card,,,,,,,,,,,,No
1,wcUu,wcuu,24,O,Yes,,,,,,,,,,,,,,,,,,,,,,,No
1,.,.,25,O,,,,,,,,,,,,,,,,,,,,,,,,
1,sLJL,SLJL,26,O,Yes,,,,,,,,,,,,,,,,,,,,,,,No
1,.,.,27,O,,,,,,,,,,,,,,,,,,,,,,,,No
1,.,.,28,O,,,,,,,,,,,,,,,,,,,,,,,,No
1,.,.,29,O,,,,,,,,,,,,,,,,,,,,,,,,
1,AAL,AAL,1,O,Yes,,,,,,,,,,,,,,,,,,,,,,,No
1,-,-,2,O,,,,,,,,,,,,,,,,,,,,,,,,No
1,L,L,3,O,Yes,,,,,,,,,,,,,,,,,,,,,,,
1,cGU,CGU,4,O,Yes,,,,,,,,,,,,,,,,,,,,,,,
1,6,6,5,O,,,,,,,,,,,Digit,Card,,,,,,,,,,,,
1,urm,urm,6,O,,,,,,,Yes,,,,,,,,,,,,,,,,,
1,ea,ea,7,O,,,,,,,Yes,,,,,,,,,,,,,,,,,No
1,1,1,8,O,,,,,,,,,,,Digit,Card,,,,,,,,,,,,
1,*,*,9,O,,,,,,,,,,,,,,,,,,,,,,,,No
1,MaLovaki,Malovaki,10,O,,,Anim,,Nom,,,Masc,,Giv,,,Sing,,,,,,,,,,,No
1,",",",",11,O,,,,,,,,,,,,,,,,,,,,,,,,
1,(,(,12,O,,,,,,,,,,,,,,,,,,,,,,,,No
1,7,7,13,O,,,,,,,,,,,Digit,Card,,,,,,,,,,,,No
1,-,-,14,O,,,,,,,,,,,,,,,,,,,,,,,,
1,(,(,15,O,,,,,,,,,,,,,,,,,,,,,,,,No
1,.,.,16,O,,,,,,,,,,,,,,,,,,,,,,,,
1,clrCundéAa,clrcundéaa,17,O,,,,,,,Yes,,,,,,,,,,,,,,,,,No
1,~,~,18,O,,,,,,,Yes,,,,,,,,,,,,,,,,,No
1,ar,ar,19,O,,,,,,,Yes,,,,,,,,,,,,,,,,,
1,■,■,20,O,,,,,,,Yes,,,,,,,,,,,,,,,,,
1,Iau,Iau,21,O,,,,,,,Yes,,,,,,,,,,,,,,,,,No
1,:,:,22,O,,,,,,,,,,,,,,,,,,,,,,,,No
1,svaČt,svačt,23,O,,,Inan,,Nom,,,Masc,,,,,Sing,,,,,,,,,,,
1,v,v,24,O,,Prep,,,Loc,,,,,,,,,,,,,,,,,,,
1,CLardow,Clardow,25,B-gu,,,,,,,Yes,,,,,,,,,,,,,,,,,No
1,.,.,26,O,,,,,,,,,,,,,,,,,,,,,,,,No
1,.,.,27,O,,,,,,,,,,,,,,,,,,,,,,,,
1,Edlee,Edlee,1,O,,,,,,,,Fem,,Giv,,,,,,,,,,,,,,
1,Došlo,dojít,2,O,,,,Perf,,,,Neut,,,,,Sing,,Pos,,,Past,,Part,Act,,,
1,do,do,3,O,,Prep,,,Gen,,,,,,,,,,,,,,,,,,,
1,spisovny,spisovna,4,O,,,,,Gen,,,Fem,,,,,Sing,,,,,,,,,,,No
1,:,:,5,O,,,,,,,,,,,,,,,,,,,,,,,,
1,Popis,popis,6,O,,,Inan,,Nom,,,Masc,,,,,Sing,,,,,,,,,,,
1,spisu,spis,7,O,,,Inan,,Gen,,,Masc,,,,,Sing,,,,,,,,,,,No
1,:,:,8,O,,,,,,,,,,,,,,,,,,,,,,,,
1,:,:,9,O,,,,,,,,,,,,,,,,,,,,,,,,
1,Výpravna,výpravna,10,O,,,,,Nom,,,Fem,,,,,Sing,,,,,,,,,,,No
1,:,:,11,O,,,,,,,,,,,,,,,,,,,,,,,,
1,Značka,značka,12,O,,,,,Nom,,,Fem,,,,,Sing,,,,,,,,,,,No
1,:,:,13,O,,,,,,,,,,,,,,,,,,,,,,,,
1,Budiž,být,14,O,,,,Imp,,,,,Imp,,,,Sing,3,Pos,,,,,Fin,,,,
1,skartováno,skartovaný,15,O,,,,Imp,,Pos,,Neut,,,,,Sing,,Pos,,,,Short,Part,Pass,,,No
1,:,:,16,O,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,17,O,,,,,,,,,,,Digit,Card,,,,,,,,,,,,
1,.,.,18,O,,,,,,,,,,,,,,,,,,,,,,,,
1,.,.,19,O,,,,,,,,,,,,,,,,,,,,,,,,
1,foh,foh,20,O,,,Inan,,Nom,,,Masc,,,,,Sing,,,,,,,,,,,
1,S,s,21,O,,Prep,,,Ins,,,,,,,,,,,,,,,,,,,
1,přilohami,přiloha,22,O,,,,,Ins,,,Fem,,,,,Plur,,,,,,,,,,,No
1,.,.,23,O,,,,,,,,,,,,,,,,,,,,,,,,No
